brand,image,name,new_price,old_price,rating
Xiaomi,"https://bd.daraz.io/mBakl9YCa8zQHzEs0Xn_16YbJ4E=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/53/5276/1.jpg?2498",Mi Mini Portable Bluetooth Speaker  Grey,910.00,"1,349.00",8
Xiaomi,"https://bd.daraz.io/PEEwvJgKLrYM3Y2BIF5NrL9-ccE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/63/5276/1.jpg?2500",Mi In-Ear Headphones Pro - Silver,"1,250.00","1,849.00",10
Xiaomi,"https://bd.daraz.io/SbB035Oq6On6u1oZb2mO0IGx82U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/78/2446/1.jpg?2508",Mi V2 - Power Bank - 10000mAh - Silver,"1,110.00","1,645.00",19
Xiaomi,"https://bd.daraz.io/mVrqqMh_JGYvT1r9aYzV94YlnHc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/30/8416/1.jpg?9675",Mi 20000mAh Power Bank 2C - White,"1,750.00","2,375.00",6
Samsung,"https://bd.daraz.io/EahladIBTD3yOU0mdGNL-a8y7og=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/73/7805/1.jpg?8604","J2 (2016) Smartphone - 5"" - 1.5GB RAM - 8GB ROM - 8MP Camera  Silver","9,990.00","12,990.00",1
Xiaomi,"https://bd.daraz.io/jZjQZ2ght29gdtq9Rqd26lsBAU4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/14/7376/1.jpg?2502",Mi Mini Portable Bluetooth Speaker - Gold,910.00,"1,349.00",3
Xiaomi,"https://bd.daraz.io/GKXE3aAJgJljNGeJ-GT4kY6v9Dc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/13/1606/1.jpg?2514",Mi Mini Portable Bluetooth Speaker - Silver,910.00,"1,349.00",24
Xiaomi,"https://bd.daraz.io/8V-tLCnlAOrrfRqi8GRAKuYlTpI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/24/7376/1.jpg?2501",Mi In-Ear Headphones - Gold,"1,250.00","1,849.00",1
Samsung,"https://bd.daraz.io/W6_a5ztrKSevT3J_p1co3v7ZL5s=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/18/1912/1.jpg?4752","Smartphone - J2 (2016) - 5"" - 1.5GB RAM - 8GB ROM - 8MP Camera - Black","10,490.00","12,990.00",8
Ldnio,"https://bd.daraz.io/o8PA3fYPMPm-BCPYaijmNHMguxQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/86/9817/1.jpg?9824",Fast Charging 2M Lightning Cable - White,250.00,550.00,0
